1,12,33,111,158,347
2,7,78,106,108,117
3,67,86,87,98,147
4,25,37,60,93,280
5,28,79,82,97,256
6,93,105,131,200,390
7,38,106,107,118,160
8,18,55,146,262,331
9,14,64,103,220,293
11,16,56,152,176,258
12,26,128,139,239,340
13,73,81,104,154,326
14,32,182,208,247,324
16,24,40,114,121,167
18,37,60,93,139,157
20,55,71,75,135,211
21,23,28,116,208,246
22,75,93,147,153,302
23,48,116,256,271,373
24,40,114,121,167,228
25,87,152,154,157,399
26,35,122,126,144,231
28,29,69,88,164,187
29,106,107,118,160,254
30,85,87,109,140,153
32,80,104,324,326,374
33,42,126,182,228,242
34,56,167,215,242,273
36,136,156,220,231,241
37,60,157,178,280,305
39,79,154,326,374,403
40,41,145,331,340,360
41,69,220,231,331,337
42,126,144,228,250,255
46,81,91,200,225,227
48,116,136,167,370,389
49,76,110,170,255,262
55,71,75,135,211,376
56,104,119,158,166,200
58,82,130,264,329,370
59,153,231,280,287,371
60,94,98,262,304,314
61,99,153,247,273,288
64,88,103,164,170,220
67,89,99,101,136,222
69,121,228,234,267,335
79,114,222,223,282,333
81,91,109,225,227,398
82,130,329,370,398,400
84,98,296,305,359,384
85,154,200,303,344,394
86,262,314,328,351,372
87,109,140,153,232,252
89,222,242,272,284,339
94,145,262,351,391,395
97,152,174,290,333,336
99,167,247,273,288,303
107,255,293,317,320,346
114,241,264,335,341,356
122,144,150,289,306,369
126,182,208,242,373,379
131,228,244,267,347,361
133,141,224,232,272,284
144,187,239,340,356,377
152,200,255,285,315,318
153,224,251,284,285,366
167,264,272,310,336,392
