1,4,15,25,46
2,3,7,11,34
3,7,11,34,41
4,6,12,15,25
5,50,51,53,56
6,12,35,45,73
7,8,13,28,59
8,13,17,47,77
9,15,33,59,86
10,20,29,63,74
12,25,59,78,85
13,16,28,61,89
15,19,23,35,38
19,23,38,73,81
20,43,76,80,87
22,28,47,57,61
23,33,39,81,92
24,30,31,54,70
25,36,50,56,75
26,37,56,76,80
29,54,67,70,71
30,31,54,64,67
36,53,80,85,88
39,40,46,52,91
