1,4,15
2,3,7
3,7,11
4,6,12
5,37,51
6,12,25
7,8,13
8,13,17
9,15,33
10,18,47
11,17,34
12,24,31
13,16,28
14,51,89
15,19,23
16,28,41
17,26,54
18,35,69
19,23,35
20,25,29
21,32,59
22,29,62
23,27,38
24,30,70
25,36,46
26,50,56
27,33,72
28,34,85
29,31,58
30,40,91
31,54,63
33,39,81
35,38,73
36,46,49
37,56,76
38,59,66
39,45,52
40,66,86
42,80,87
43,53,80
45,57,61
46,49,65
47,58,77
53,85,88
54,62,64
59,60,79
61,89,90
62,63,67
63,70,74
64,67,71
65,78,83
66,86,92
77,79,82
