1,4,15,25
2,3,7,11
3,7,11,34
4,6,12,15
5,37,51,56
6,12,25,45
7,8,13,28
8,13,17,47
9,15,33,59
10,20,29,63
11,17,34,85
12,24,31,70
13,16,28,49
15,19,23,33
16,28,41,89
17,60,77,79
19,23,35,38
20,25,59,60
22,29,62,67
23,27,38,73
24,30,54,62
25,36,49,50
26,50,56,80
27,38,73,81
28,41,57,58
29,31,63,74
30,54,64,71
33,39,81,86
35,59,85,87
36,51,53,76
39,40,46,52
40,46,52,66
46,73,86,91
47,57,58,61
53,56,80,88
