2,7,78,106,108,117,160
3,67,86,87,98,147,235
4,25,37,60,174,247,280
5,28,79,97,256,261,340
7,38,78,106,108,117,118
8,18,89,121,139,176,326
9,21,28,110,220,231,246
11,28,39,81,85,154,303
12,16,40,88,157,167,228
13,37,103,139,178,203,280
14,48,103,144,182,208,228
16,24,40,114,121,167,228
18,25,37,60,93,139,157
21,32,114,136,231,340,370
22,81,93,131,153,200,326
25,87,93,154,157,275,399
26,79,122,136,144,231,255
28,39,79,99,154,303,403
29,38,106,107,118,160,254
30,73,85,87,109,140,153
32,94,116,167,242,370,400
33,42,126,152,182,242,399
37,61,81,145,234,331,348
39,85,89,91,104,200,326
40,92,114,144,340,356,399
42,126,152,182,242,244,255
48,116,126,143,208,256,373
56,119,131,153,158,200,288
60,94,98,262,304,314,328
70,88,90,103,151,164,220
79,122,136,222,255,329,389
81,104,109,113,225,227,374
86,94,98,262,314,328,351
87,89,121,222,232,272,284
88,110,170,220,262,280,331
94,304,314,328,351,372,391
105,116,256,265,334,373,400
133,141,224,232,272,284,333
153,211,272,273,285,336,392
167,187,239,247,282,342,347
